Site,Surveillance area description,Types of data sources used*,% population coverage of education data sources†,% of cases with records available for abstraction at ≥1 source§,Total population,No. with ASD,ASD prevalence (95% CI)¶
Arizona,Part of one county in metropolitan Phoenix,Health and education,100,,6709,210,31.3 (27.4–35.7)
Arkansas,21 counties in central Arkansas,Health and education,100,,15319,457,29.8 (27.3–32.6)
California,Part of one county in metropolitan San Diego,"Health, education, early intervention, and state developmental disability services",100,,15212,807,53.1 (49.6–56.7)
Georgia,Three counties in metropolitan Atlanta,Health and education,97.3,,35213,1149,32.6 (30.8–34.5)
Indiana,One county in metropolitan Indianapolis,Health and education,100,,13155,241,18.3 (16.2–20.8)
Maryland,Five counties in the Baltimore area,"Health, education, and early intervention",100,,21206,558,26.3 (24.2–28.6)
Minnesota,Parts of three counties in the Twin Cities metropolitan area,Health and education,100,,17331,616,35.5 (32.9–38.4)
Missouri,Three counties in metropolitan St. Louis,Health and education,68,,19968,640,32.1 (29.7–34.6)
New Jersey,Two counties in the New York metropolitan area,"Health, education, and early intervention",100,,18334,623,34.0 (31.5–36.7)
Pennsylvania,One county in suburban Philadelphia,"Health, education, early intervention, and Medicaid claims including state-funded long-term care programs",100,,7066,335,47.4 (42.7–52.6)
Puerto Rico,"32 municipalities in north, east, south, and central regions of Puerto Rico","Health, education, early intervention, Medicaid claims, and autism registry",100,,17457,461,26.4 (24.1–28.9)
Tennessee,11 counties in middle Tennessee,Health and education,100,,26182,889,34.0 (31.8–36.2)
Texas (Austin§§),Part of one county in south central Texas,Health and education,100,,4356,85,19.5 (15.8–24.1)
Texas (Laredo),One county in south Texas,Health and education,99.7,,4856,47,9.7 (7.3–12.8)
Utah,Three counties in northern Utah,"Health, education, early intervention, and habilitative services",100,,24395,658,27.0 (25.0–29.1)
Wisconsin,Eight counties in southeastern Wisconsin,"Health, education, early intervention, Medicaid claims, and state-funded long-term care program",100,,28098,1078,38.4 (36.2–40.7)
